"server=,"
Оперативная память Corsair Vengeance LPX DDR4 2x8Gb,2 100 грн.,Ровно,https://www.olx.ua/obyavlenie/operativnaya-pamyat-corsair-vengeance-lpx-ddr4-2x8gb-IDK8Qxm.html?sd=1#ad66db447d
Контроллер COM RS232 на PCI MosСhip MCS9835CV,95 грн.,"Запорожье, Шевченковский",https://www.olx.ua/obyavlenie/kontroller-com-rs232-na-pci-mosship-mcs9835cv-IDFVPFQ.html?sd=1#ad66db447d
Видеокарта GeForce GT440 1024MB GDDR3 128 бит,499 грн.,"Харьков, Новобаварский",https://www.olx.ua/obyavlenie/videokarta-geforce-gt440-1024mb-gddr3-128-bit-IDK1poJ.html?sd=1#ad66db447d;promoted
Процесор celeron 336 socket LGA 775 2.8GHz,30 грн.,"Львов, Франковский",https://www.olx.ua/obyavlenie/protsesor-celeron-336-socket-lga-775-2-8ghz-IDEjdWm.html#ad66db447d
Видеокарта Radeon HD 3850 1Gb,800 грн.,"Одесса, Приморский",https://www.olx.ua/obyavlenie/videokarta-radeon-hd-3850-1gb-IDJxaeI.html?sd=1#ad66db447d
DDR3 8GB 4X2 Kingston kvr1333d3n9/4g,900 грн.,"Запорожье, Александровский",https://www.olx.ua/obyavlenie/ddr3-8gb-4x2-kingston-kvr1333d3n9-4g-IDKb1kE.html?sd=1#ad66db447d;promoted
Радиаторы алюминиевые для охлаждения,70 грн.,Чернигов,https://www.olx.ua/obyavlenie/radiatory-alyuminievye-dlya-ohlazhdeniya-IDKguCa.html?sd=1#ad66db447d;promoted
SSD Kingston A400 120GB,619 грн.,Редьковка,https://www.olx.ua/obyavlenie/ssd-kingston-a400-120gb-IDKqL9V.html?sd=1#ad66db447d
Процессор AMD Athlon II X2 240 на 2 ядра по 2.8MHz,150 грн.,"Одесса, Приморский",https://www.olx.ua/obyavlenie/protsessor-amd-athlon-ii-x2-240-na-2-yadra-po-2-8mhz-IDJvOqL.html?sd=1#ad66db447d
Картридер Kingston Mobile Lite G4 FCR-MLG4.,260 грн.,"Киев, Печерский",https://www.olx.ua/obyavlenie/kartrider-kingston-mobile-lite-g4-fcr-mlg4-IDKouYB.html?sd=1#ad66db447d;promoted
ОЗУ DDR3 4gb (2х2gb) Hynix (вторая Nanya),300 грн.,"Одесса, Приморский",https://www.olx.ua/obyavlenie/ozu-ddr3-4gb-2h2gb-hynix-vtoraya-nanya-IDJvGLQ.html?sd=1#ad66db447d
Обмен на комплектующие.,Обмен,Красноармейск,https://www.olx.ua/obyavlenie/obmen-na-komplektuyuschie-IDIc9pJ.html#ad66db447d
Корпус от хвох360,800 грн.,"Одесса, Киевский",https://www.olx.ua/obyavlenie/korpus-ot-hvoh360-IDHLpV9.html#ad66db447d
Відеокарта Nvidia QUADRO 6000 6GB GDDR5 384-Bit,8 444 грн.,"Львов, Сиховский",https://www.olx.ua/obyavlenie/vdeokarta-nvidia-quadro-6000-6gb-gddr5-384-bit-IDJRMeB.html#ad66db447d
